query shape,retrieved shapes
Insect/m0.obj,"Jet/m1291.obj, Cup/m499.obj, Biplane/D00634.obj, ClassicPiano/D00784.obj, Biplane/D00199.obj"
Insect/m26.obj,"Biplane/D00199.obj, Insect/m8.obj, PlantWildNonTree/m963.obj, ClassicPiano/D00784.obj, FloorLamp/D00186.obj"
Insect/D00160.obj,"MultiSeat/m775.obj, NonWheelChair/m826.obj, DeskPhone/D00118.obj, Monitor/D00444.obj, MultiSeat/m781.obj"
Insect/m19.obj,"Insect/D00672.obj, Insect/m22.obj, Insect/m24.obj, Biplane/m1119.obj, RoundTable/D00581.obj"
Insect/m25.obj,"Insect/m16.obj, Insect/D00734.obj, Insect/D00806.obj, FloorLamp/D00211.obj, Biplane/m1131.obj"
Insect/m24.obj,"Biplane/m1119.obj, Insect/m22.obj, RoundTable/D00581.obj, PianoBoard/D00721.obj, Insect/m19.obj"
Insect/m18.obj,"RoundTable/D00948.obj, Insect/D00746.obj, DeskLamp/D00759.obj, RoundTable/D00827.obj, Door/D01143.obj"
Insect/m20.obj,"ClassicPiano/D00034.obj, Insect/D00734.obj, Insect/m16.obj, Biplane/m1131.obj, Insect/m25.obj"
Insect/D00615.obj,"Insect/D00102.obj, Sword/m694.obj, City/D01018.obj, BuildingNonResidential/m470.obj, Knife/m723.obj"
Insect/m21.obj,"RoundTable/D00083.obj, Insect/m23.obj, Computer/D01037.obj, PlantIndoors/m1027.obj, PlantIndoors/D00087.obj"
Insect/D00774.obj,"Insect/m17.obj, FloorLamp/D00093.obj, NonWheelChair/m821.obj, NonWheelChair/m798.obj, Insect/m12.obj"
Insect/m8.obj,"Insect/m26.obj, Biplane/D00199.obj, PlantWildNonTree/m963.obj, FloorLamp/D00186.obj, ClassicPiano/D00784.obj"
Insect/m23.obj,"Insect/m21.obj, RoundTable/D00083.obj, Computer/D01037.obj, PlantIndoors/D00087.obj, PlantIndoors/m1027.obj"
Insect/D00399.obj,"ClassicPiano/D00279.obj, Jet/m1173.obj, Monitor/D00920.obj, ClassicPiano/D00190.obj, Jet/m1279.obj"
Insect/m22.obj,"Insect/m19.obj, Insect/m24.obj, Insect/D00672.obj, Biplane/m1119.obj, RoundTable/D00581.obj"
Insect/D00788.obj,"BuildingNonResidential/m399.obj, PlantIndoors/m1025.obj, Biplane/m1120.obj, Insect/D00430.obj, Monitor/D00391.obj"
Insect/m9.obj,"Jet/m1292.obj, PlantIndoors/m1031.obj, Bicycle/D00930.obj, Starship/m1358.obj, Insect/D00333.obj"
Insect/D00102.obj,"Insect/D00615.obj, Sword/m694.obj, City/D01018.obj, Knife/m723.obj, Jet/m1278.obj"
Insect/D00117.obj,"Insect/D00136.obj, Musical_Instrument/m644.obj, Biplane/D00276.obj, Biplane/m1144.obj, Tool/m589.obj"
Insect/D00895.obj,"City/D01066.obj, Jet/m1257.obj, Insect/D00081.obj, House/m439.obj, Sword/m705.obj"
Insect/D00315.obj,"DeskPhone/D00897.obj, Hand/m336.obj, Ship/m1462.obj, Hand/m323.obj, Hand/D01172.obj"
Insect/D00713.obj,"RoundTable/D00407.obj, PlantIndoors/D00491.obj, PlantIndoors/m995.obj, PlantIndoors/D00609.obj, RoundTable/m929.obj"
Insect/D00855.obj,"Tool/m590.obj, Insect/D00309.obj, Quadruped/m86.obj, Motorcycle/D00396.obj, Humanoid/m226.obj"
Insect/D00672.obj,"Insect/m19.obj, Insect/m22.obj, Insect/m24.obj, Biplane/m1119.obj, RoundTable/D00581.obj"
Insect/D00510.obj,"Helicopter/D00644.obj, Biplane/D00854.obj, Insect/D00590.obj, Humanoid/m240.obj, Humanoid/m241.obj"
Insect/D00662.obj,"Insect/D00884.obj, Insect/D00668.obj, PlantIndoors/m1002.obj, Monitor/D00339.obj, Gun/D00161.obj"
Insect/D00884.obj,"Insect/D00662.obj, Insect/D00668.obj, PlantIndoors/m1002.obj, Monitor/D00339.obj, Gun/D00161.obj"
Bookset/D01038.obj,"Train/D01008.obj, PianoBoard/D00460.obj, Bed/D00836.obj, Bed/D00110.obj, Cup/D00738.obj"
Bookset/D01199.obj,"HumanHead/m364.obj, Tree/D00385.obj, PlantIndoors/m994.obj, Hat/m1633.obj, Tree/D00393.obj"
Bookset/D01013.obj,"Skyscraper/D00729.obj, Apartment/D00681.obj, House/D00946.obj, Computer/D01002.obj, Skyscraper/D00059.obj"
Bookset/D01065.obj,"NonWheelChair/D00707.obj, NonWheelChair/m800.obj, WheelChair/D00453.obj, WheelChair/D00846.obj, NonWheelChair/m816.obj"
Bookset/D01110.obj,"RectangleTable/m919.obj, Bookset/D01109.obj, Hat/m1632.obj, BuildingNonResidential/m390.obj, HumanHead/m347.obj"
Bookset/D01135.obj,"RectangleTable/m904.obj, Apartment/D00869.obj, Shelf/m866.obj, Shelf/D00352.obj, Shelf/m862.obj"
Bookset/D01109.obj,"RectangleTable/m919.obj, HumanHead/m347.obj, Bookset/D01110.obj, Hat/m1632.obj, MilitaryVehicle/D00100.obj"
Bookset/D01096.obj,"BuildingNonResidential/m402.obj, MilitaryVehicle/D00933.obj, House/D00574.obj, NonWheelChair/m796.obj, MilitaryVehicle/D00918.obj"
Bookset/D01108.obj,"Bookset/D01009.obj, Skyscraper/D00584.obj, Skyscraper/D00126.obj, Shelf/D00129.obj, Shelf/m847.obj"
Bookset/D01122.obj,"House/D00325.obj, Bookset/D01030.obj, Bookset/D01042.obj, Bookset/D01182.obj, Wheel/m746.obj"
Bookset/D01042.obj,"Bookset/D01030.obj, Monitor/D00364.obj, Computer/D01164.obj, RoundTable/m934.obj, Bookset/D01122.obj"
Bookset/D01078.obj,"Shelf/D00592.obj, MilitaryVehicle/D00577.obj, Cup/D00587.obj, Car/m1562.obj, Wheel/m744.obj"
Bookset/D01050.obj,"House/m460.obj, Mug/D00341.obj, HumanHead/m351.obj, BuildingNonResidential/m396.obj, HumanHead/m345.obj"
Bookset/D01182.obj,"Wheel/m746.obj, Bookset/D01030.obj, Bookset/D01122.obj, Tree/D00911.obj, House/D00325.obj"
Bookset/D01009.obj,"Bookset/D01108.obj, Skyscraper/D00584.obj, Skyscraper/D00126.obj, Shelf/D00129.obj, Shelf/m851.obj"
Bookset/D01183.obj,"Bus/D00114.obj, Train/m1584.obj, Drum/D00596.obj, NonWheelChair/m791.obj, Drum/D00709.obj"
Bookset/D01030.obj,"Bookset/D01042.obj, Bookset/D01122.obj, Wheel/m746.obj, House/D00325.obj, Monitor/D00364.obj"
Bookset/D01184.obj,"Shelf/D00198.obj, Wheel/m739.obj, Wheel/m736.obj, Cellphone/D00527.obj, Shelf/m861.obj"
Bookset/D01190.obj,"Shelf/m862.obj, Bus/D00769.obj, Shelf/m866.obj, Shelf/D00352.obj, Bookset/D01135.obj"
Bookset/D01146.obj,"HumanHead/m343.obj, HumanHead/D00434.obj, HumanHead/D00578.obj, HumanHead/m357.obj, HumanHead/D00629.obj"
Tree/m1068.obj,"PlantIndoors/D00049.obj, ClassicPiano/D00314.obj, PlantIndoors/m1000.obj, PlantWildNonTree/m973.obj, Computer/m1775.obj"
Tree/m1097.obj,"Skyscraper/D00259.obj, Humanoid/m143.obj, Train/m1582.obj, Sword/m717.obj, Sword/m701.obj"
Tree/m1082.obj,"AquaticAnimal/m72.obj, Fish/D00950.obj, AquaticAnimal/m70.obj, AquaticAnimal/m81.obj, AquaticAnimal/m76.obj"
Tree/m1096.obj,"DeskPhone/D00899.obj, ClassicPiano/D00120.obj, Quadruped/m282.obj, City/D01092.obj, Motorcycle/D00039.obj"
Tree/m1069.obj,"RoundTable/m925.obj, Monitor/D00364.obj, RoundTable/m934.obj, HumanHead/m364.obj, Bookset/D01199.obj"
Tree/D00479.obj,"Tree/D00223.obj, Tree/D00221.obj, PlantIndoors/m991.obj, DeskLamp/D00048.obj, PlantIndoors/D00159.obj"
Tree/m1095.obj,"Helicopter/m1329.obj, ClassicPiano/D00305.obj, Humanoid/m266.obj, Mug/D00825.obj, Bicycle/D00931.obj"
Tree/D00727.obj,"Mug/m504.obj, HumanHead/m355.obj, Monitor/D00852.obj, HumanHead/D00653.obj, HumanHead/m366.obj"
Tree/m1091.obj,"Tree/D00367.obj, Bird/m30.obj, BuildingNonResidential/m404.obj, Bird/m44.obj, City/D01091.obj"
Tree/m1090.obj,"Helicopter/m1323.obj, Starship/m1371.obj, BuildingNonResidential/m409.obj, Bird/D00546.obj, Bird/m47.obj"
Tree/D00911.obj,"Hat/m1630.obj, Wheel/m746.obj, Hat/m1633.obj, House/m448.obj, Bookset/D01182.obj"
Tree/m1079.obj,"AquaticAnimal/m54.obj, AquaticAnimal/m60.obj, AquaticAnimal/m57.obj, AquaticAnimal/m56.obj, Fish/D00850.obj"
Tree/m1092.obj,"Jet/m1299.obj, Bird/D00442.obj, Monoplane/D00319.obj, Ship/m1451.obj, Monitor/D00141.obj"
Tree/m1086.obj,"Ship/D00543.obj, Guitar/D00414.obj, Guitar/D00222.obj, Ship/D00809.obj, Violin/D00898.obj"
Tree/D00456.obj,"ClassicPiano/D00190.obj, Sword/D00133.obj, Jet/m1279.obj, Jet/m1173.obj, Insect/D00399.obj"
Tree/m1093.obj,"Sword/m705.obj, Jet/m1257.obj, City/D01181.obj, Jet/m1159.obj, Ship/m1452.obj"
Tree/m1078.obj,"Biplane/D00490.obj, Gun/D00209.obj, Helicopter/D00498.obj, House/m431.obj, Quadruped/m86.obj"
Tree/m1050.obj,"Tree/D00765.obj, RoundTable/m926.obj, WheelChair/D00088.obj, WheelChair/D00365.obj, Ship/m1453.obj"
Tree/D00223.obj,"Tree/D00221.obj, Tree/D00479.obj, PlantIndoors/m991.obj, PlantIndoors/D00159.obj, DeskLamp/D00048.obj"
Tree/D00221.obj,"Tree/D00223.obj, Tree/D00479.obj, PlantIndoors/m991.obj, PlantIndoors/D00159.obj, DeskLamp/D00048.obj"
Tree/D00393.obj,"PlantIndoors/m994.obj, PlantIndoors/m991.obj, Quadruped/m100.obj, DeskLamp/D00048.obj, Bookset/D01199.obj"
Tree/D00810.obj,"PlantIndoors/m1013.obj, PlantIndoors/m1014.obj, PlantIndoors/D00595.obj, PlantIndoors/m1003.obj, PlantIndoors/D00379.obj"
Tree/D00385.obj,"Bookset/D01199.obj, HumanHead/m364.obj, Hat/m1633.obj, PlantIndoors/m994.obj, Tree/D00393.obj"
Tree/D00612.obj,"Tree/m1062.obj, House/m435.obj, Computer/D01073.obj, NonWheelChair/m828.obj, BuildingNonResidential/m384.obj"
Tree/D00996.obj,"Quadruped/m112.obj, PlantIndoors/m1030.obj, PlantIndoors/m989.obj, Ship/m1453.obj, HumanHead/D00106.obj"
Tree/D00200.obj,"Hand/D01041.obj, Hand/m325.obj, MilitaryVehicle/D00801.obj, Hand/m326.obj, Hand/D01200.obj"
Tree/D00573.obj,"Helicopter/D00977.obj, Starship/m1366.obj, Helicopter/m1325.obj, Starship/m1360.obj, Gun/D00972.obj"
Tree/D00765.obj,"Tree/m1050.obj, WheelChair/D00088.obj, RoundTable/m926.obj, TruckNonContainer/D00283.obj, WheelChair/D00365.obj"
Tree/D00367.obj,"Tree/m1091.obj, Bird/m30.obj, BuildingNonResidential/m404.obj, Bird/m44.obj, City/D01091.obj"
Tree/D00777.obj,"HumanHead/D00984.obj, MilitaryVehicle/D00529.obj, PlantIndoors/m1015.obj, WheelChair/D00274.obj, NonWheelChair/m816.obj"
Tree/m1075.obj,"Jet/m1152.obj, Jet/m1159.obj, City/D01181.obj, Sword/m705.obj, Door/m1721.obj"
Tree/m1062.obj,"Computer/D01073.obj, Tree/D00612.obj, House/m435.obj, NonWheelChair/m828.obj, Computer/m1774.obj"
Tree/m1089.obj,"Monoplane/D00402.obj, Helicopter/m1313.obj, Gun/m684.obj, Jet/m1264.obj, Jet/m1194.obj"
Tree/m1077.obj,"WheelChair/D00394.obj, RoundTable/m926.obj, House/D00901.obj, Tree/D00223.obj, PlantIndoors/m1030.obj"
Tree/m1063.obj,"PlantWildNonTree/m968.obj, Quadruped/m274.obj, Bird/m29.obj, Computer/D01115.obj, Motorcycle/m1481.obj"
Tree/m1067.obj,"PlantIndoors/m997.obj, PlantIndoors/D00128.obj, PlantIndoors/D00800.obj, Insect/D00989.obj, PlantIndoors/m1004.obj"
Tree/m1098.obj,"Jet/m1286.obj, ClassicPiano/D00967.obj, Humanoid/m218.obj, Biplane/m1129.obj, Tool/m588.obj"
Tree/m1072.obj,"Tree/m1070.obj, Jet/m1175.obj, Bird/m34.obj, Jet/m1147.obj, Bird/D00271.obj"
Tree/m1066.obj,"Sword/m689.obj, Jet/m1287.obj, Spoon/D00669.obj, Bird/m45.obj, Bird/D00284.obj"
Tree/m1070.obj,"Tree/m1072.obj, Bird/m34.obj, Jet/m1175.obj, Bird/D00089.obj, Jet/m1147.obj"
Tree/m1064.obj,"Computer/m1777.obj, Computer/D01082.obj, City/m1664.obj, City/D01010.obj, Shelf/D00468.obj"
Tree/m1065.obj,"Jet/m1267.obj, Bird/D00234.obj, PlantWildNonTree/m986.obj, Monoplane/D00925.obj, Computer/D01067.obj"
Tree/m1071.obj,"Computer/m1772.obj, ClassicPiano/D00561.obj, NonWheelChair/m808.obj, HumanHead/m359.obj, Bird/m32.obj"
RectangleTable/m907.obj,"RectangleTable/m893.obj, Bed/m950.obj, RectangleTable/m913.obj, RectangleTable/D00302.obj, RectangleTable/D00505.obj"
RectangleTable/m913.obj,"RectangleTable/D00230.obj, RectangleTable/m893.obj, RectangleTable/m901.obj, RectangleTable/D00295.obj, Bed/m950.obj"
RectangleTable/m873.obj,"RectangleTable/D00243.obj, Computer/D01070.obj, Bed/D00735.obj, Apartment/D00138.obj, PianoBoard/D00212.obj"
RectangleTable/m898.obj,"RectangleTable/m908.obj, Truck/D00002.obj, Bed/D00836.obj, Car/m1547.obj, Wheel/m740.obj"
RectangleTable/m872.obj,"BuildingNonResidential/m418.obj, RectangleTable/D00134.obj, Cellphone/D00362.obj, RectangleTable/m917.obj, Bed/D00988.obj"
RectangleTable/D00678.obj,"City/D01056.obj, RectangleTable/m894.obj, RoundTable/m933.obj, Musical_Instrument/m646.obj, Hat/m1631.obj"
RectangleTable/m912.obj,"RectangleTable/m888.obj, Apartment/D00780.obj, Shelf/D00352.obj, RectangleTable/m882.obj, Bed/D00322.obj"
RectangleTable/m906.obj,"NonWheelChair/D00928.obj, Humanoid/m251.obj, Sign/m1683.obj, ClassicPiano/D00789.obj, Humanoid/m148.obj"
RectangleTable/m910.obj,"Monitor/D00863.obj, Jet/m1239.obj, Door/m1731.obj, Jet/m1162.obj, Monoplane/D00319.obj"
RectangleTable/m904.obj,"Bookset/D01135.obj, Apartment/D00869.obj, Shelf/m866.obj, Shelf/D00352.obj, Shelf/m862.obj"
RectangleTable/D00530.obj,"RectangleTable/m883.obj, RectangleTable/D00954.obj, Hat/m1638.obj, Mug/D00770.obj, Mug/D00227.obj"
RectangleTable/D00295.obj,"RectangleTable/m901.obj, RectangleTable/D00230.obj, RectangleTable/m896.obj, RectangleTable/m913.obj, Bed/m950.obj"
RectangleTable/D00134.obj,"RectangleTable/m872.obj, BuildingNonResidential/m418.obj, Cellphone/D00362.obj, Shelf/D00887.obj, RectangleTable/m917.obj"
RectangleTable/m870.obj,"RectangleTable/m874.obj, RectangleTable/m897.obj, RectangleTable/D00603.obj, RectangleTable/m902.obj, RectangleTable/m891.obj"
RectangleTable/m871.obj,"Mug/D00321.obj, RoundTable/m937.obj, MilitaryVehicle/D00051.obj, Apartment/D00045.obj, RoundTable/m932.obj"
RectangleTable/D00243.obj,"Apartment/D00138.obj, RectangleTable/m873.obj, PianoBoard/D00212.obj, PianoBoard/D00122.obj, Computer/D01070.obj"
RectangleTable/m905.obj,"RoundTable/m923.obj, RoundTable/D00649.obj, Computer/m1767.obj, RoundTable/D00344.obj, Bed/D00307.obj"
RectangleTable/m915.obj,"MultiSeat/D00146.obj, Skyscraper/D00059.obj, Computer/D01102.obj, PlantWildNonTree/m966.obj, House/D00946.obj"
RectangleTable/m901.obj,"RectangleTable/D00295.obj, RectangleTable/D00230.obj, RectangleTable/m896.obj, RectangleTable/m913.obj, Bed/m950.obj"
RectangleTable/m875.obj,"Car/m1546.obj, Bed/D00121.obj, BuildingNonResidential/m416.obj, House/D00389.obj, Apartment/D00156.obj"
RectangleTable/m874.obj,"RectangleTable/m870.obj, Bed/m946.obj, RectangleTable/m897.obj, Bed/D00322.obj, RectangleTable/m891.obj"
RectangleTable/m914.obj,"RectangleTable/m879.obj, Bed/D00217.obj, Bed/D00538.obj, Bed/D00650.obj, RectangleTable/m891.obj"
RectangleTable/m902.obj,"RectangleTable/D00603.obj, RectangleTable/m870.obj, RectangleTable/m897.obj, RectangleTable/m891.obj, RectangleTable/D00302.obj"
RectangleTable/m876.obj,"Monitor/D00659.obj, HumanHead/m354.obj, HumanHead/m346.obj, NonWheelChair/D00419.obj, TruckNonContainer/D00879.obj"
RectangleTable/m889.obj,"Monitor/D00919.obj, BuildingNonResidential/m478.obj, Bed/D00565.obj, Glasses/D00560.obj, PianoBoard/D00104.obj"
RectangleTable/m888.obj,"RectangleTable/m912.obj, Apartment/D00780.obj, Bed/D00322.obj, Shelf/D00352.obj, RectangleTable/m897.obj"
RectangleTable/m877.obj,"City/m1654.obj, Bicycle/D00558.obj, FloorLamp/D00740.obj, Jet/m1288.obj, RoundTable/m935.obj"
RectangleTable/D00523.obj,"RectangleTable/D00505.obj, Shelf/D00917.obj, RectangleTable/D00302.obj, RectangleTable/m907.obj, Bed/m950.obj"
RectangleTable/m917.obj,"Bed/D00988.obj, Cellphone/D00362.obj, BuildingNonResidential/m418.obj, RectangleTable/m872.obj, Cellphone/D00192.obj"
RectangleTable/D00418.obj,"MultiSeat/m830.obj, Car/m1499.obj, DeskPhone/D00958.obj, MilitaryVehicle/D00723.obj, Car/D00452.obj"
RectangleTable/D00230.obj,"RectangleTable/m913.obj, RectangleTable/m901.obj, RectangleTable/D00295.obj, RectangleTable/m896.obj, RectangleTable/m893.obj"
RectangleTable/D00421.obj,"Car/m1557.obj, Car/m1558.obj, Car/m1540.obj, Car/m1521.obj, Car/D00803.obj"
RectangleTable/D00187.obj,"Shelf/D00057.obj, RectangleTable/D00714.obj, Cellphone/D00554.obj, RectangleTable/m882.obj, Apartment/D00780.obj"
RectangleTable/D00954.obj,"RectangleTable/D00530.obj, RectangleTable/m883.obj, Hat/m1638.obj, Mug/D00770.obj, Mug/D00227.obj"
RectangleTable/D00571.obj,"RoundTable/D00524.obj, RoundTable/m928.obj, Hat/m1628.obj, Computer/m1769.obj, HumanHead/D00910.obj"
RectangleTable/m763.obj,"MultiSeat/m833.obj, BuildingNonResidential/m397.obj, RoundTable/D00702.obj, BuildingNonResidential/m420.obj, NonWheelChair/m788.obj"
RectangleTable/D00766.obj,"RectangleTable/m920.obj, RoundTable/D00501.obj, TruckNonContainer/D00266.obj, Chess/m1596.obj, Sign/m1684.obj"
RectangleTable/D00188.obj,"Apartment/D00639.obj, RoundTable/m931.obj, House/D00095.obj, Car/m1563.obj, Bookset/D01078.obj"
RectangleTable/m764.obj,"NonWheelChair/m790.obj, Musical_Instrument/m645.obj, NonWheelChair/m798.obj, Jet/m1289.obj, NonWheelChair/m821.obj"
RectangleTable/m765.obj,"MultiSeat/D00053.obj, Car/m1507.obj, Car/m1544.obj, Truck/D00010.obj, Truck/D00987.obj"
RectangleTable/D00603.obj,"RectangleTable/m902.obj, RectangleTable/m870.obj, RectangleTable/m897.obj, RectangleTable/m891.obj, RectangleTable/m874.obj"
RectangleTable/D00944.obj,"NonWheelChair/m817.obj, HumanHead/m346.obj, HumanHead/m354.obj, WheelChair/D00203.obj, WheelChair/D00782.obj"
RectangleTable/m891.obj,"RectangleTable/m879.obj, RectangleTable/m870.obj, Bed/D00650.obj, RectangleTable/m874.obj, RectangleTable/m902.obj"
RectangleTable/m890.obj,"BuildingNonResidential/m421.obj, Shelf/m850.obj, Wheel/m749.obj, Car/m1559.obj, Wheel/m743.obj"
RectangleTable/m919.obj,"Bookset/D01110.obj, Bookset/D01109.obj, BuildingNonResidential/m405.obj, Hat/m1634.obj, Drum/D00939.obj"
RectangleTable/D00505.obj,"RectangleTable/D00523.obj, Shelf/D00917.obj, RectangleTable/D00302.obj, RectangleTable/m907.obj, Bed/D00650.obj"
RectangleTable/D00317.obj,"Insect/D00806.obj, Biplane/m1126.obj, Insect/m25.obj, Insect/m16.obj, Insect/m20.obj"
RectangleTable/m879.obj,"Bed/D00650.obj, RectangleTable/m891.obj, RectangleTable/m914.obj, Bed/D00538.obj, RectangleTable/m870.obj"
RectangleTable/m886.obj,"House/D00389.obj, DeskPhone/D00958.obj, Car/m1546.obj, Apartment/D00156.obj, Apartment/D00651.obj"
RectangleTable/m892.obj,"BuildingNonResidential/m415.obj, BuildingNonResidential/m408.obj, Humanoid/m190.obj, DeskPhone/D00706.obj, MilitaryVehicle/D00799.obj"
RectangleTable/m893.obj,"RectangleTable/m913.obj, RectangleTable/D00230.obj, RectangleTable/m907.obj, RectangleTable/D00295.obj, RectangleTable/m901.obj"
RectangleTable/m887.obj,"Bed/m948.obj, Bed/D00210.obj, Shelf/D00818.obj, Car/m1506.obj, Bed/D00110.obj"
RectangleTable/m878.obj,"ClassicPiano/D00009.obj, ClassicPiano/D00983.obj, Bed/D00552.obj, Musical_Instrument/m643.obj, AircraftBuoyant/m1344.obj"
RectangleTable/D00302.obj,"RectangleTable/D00505.obj, RectangleTable/m902.obj, RectangleTable/m891.obj, RectangleTable/D00603.obj, RectangleTable/m907.obj"
RectangleTable/m920.obj,"RectangleTable/D00766.obj, RoundTable/D00501.obj, TruckNonContainer/D00266.obj, Chess/m1596.obj, Sign/m1684.obj"
RectangleTable/m908.obj,"RectangleTable/m898.obj, Wheel/m740.obj, Truck/D00002.obj, Bed/D00836.obj, Car/m1547.obj"
RectangleTable/m883.obj,"RectangleTable/D00530.obj, RectangleTable/D00954.obj, Hat/m1638.obj, Mug/D00770.obj, Mug/D00227.obj"
RectangleTable/m897.obj,"Bed/D00322.obj, RectangleTable/m870.obj, RectangleTable/m874.obj, RectangleTable/D00603.obj, RectangleTable/m902.obj"
