name,class_name,num_vertices,num_faces,num_triangles,num_quads,bb_dim_x,bb_dim_y,bb_dim_z
Apartment\D00478.obj,Apartment,19857,25206,25206,0,0.9999999871649018,0.6889732425325323,0.5495811864190168
Apartment\D00496.obj,Apartment,7737,2579,2579,0,0.9999999838788909,0.8808680571804207,0.33434226030594205
Apartment\D00626.obj,Apartment,73184,64688,64688,0,1.0000000295189309,0.5180981356236001,0.49887252500410395
Apartment\D00639.obj,Apartment,4849,7980,7980,0,1.0000000165645824,0.6201789047191052,0.675216087217781
Apartment\D00651.obj,Apartment,12732,19380,19380,0,0.999999998053201,0.9945132891939624,0.6531794218814985
Apartment\D00681.obj,Apartment,13823,15557,15557,0,0.9999999945105501,0.7757905734968948,0.634970926043168
Apartment\D00780.obj,Apartment,8240,13684,13684,0,1.000000009002783,0.6043674676494526,0.29601229517227773
Apartment\D00792.obj,Apartment,1327,1158,1158,0,0.984403670190418,1.0000000173846173,0.7924895862281788
Apartment\D00859.obj,Apartment,1378,2163,2163,0,0.9999999856373476,0.6867867924284794,0.2861621294582042
Apartment\D00860.obj,Apartment,19857,25206,25206,0,1.000000013505069,0.6855640887876574,0.5472517154688772
Apartment\D00869.obj,Apartment,4930,9069,9069,0,0.9999999835225847,0.697429476055508,0.5573753446932429
Apartment\D00921.obj,Apartment,12842,7983,7983,0,1.0000000069851136,0.617442958560369,0.6654162524831321
Apartment\D00953.obj,Apartment,4158,7140,7140,0,0.9371075719918731,1.0000000120272217,0.5592949771193287
Apartment\m463.obj,Apartment,2022,3672,3672,0,0.8000305363548494,1.0000000125483464,0.5787000072617281
Apartment\m464.obj,Apartment,8301,12810,12810,0,0.3394200042591597,1.0000000125483464,0.2855842141099254
Apartment\m465.obj,Apartment,2335,4363,4363,0,0.2021263183258247,1.0000000125483464,0.23844526614998848
AquaticAnimal\m53.obj,AquaticAnimal,18409,34877,34877,0,0.1456536860382391,0.3408010569080686,1.0000000125483464
AquaticAnimal\m54.obj,AquaticAnimal,18143,33836,33836,0,0.2419989504051076,0.36436105720370754,1.0000000125483461
AquaticAnimal\m55.obj,AquaticAnimal,19505,37072,37072,0,0.1647473704883596,0.3738378994278895,1.0000000125483461
AquaticAnimal\m56.obj,AquaticAnimal,5814,10893,10893,0,0.1515326334804313,0.3604757939970593,1.0000000125483461
AquaticAnimal\m57.obj,AquaticAnimal,18878,36278,36278,0,0.1252242120976725,0.38362421534016516,1.0000000125483461
AquaticAnimal\m58.obj,AquaticAnimal,477,950,950,0,0.5389989541319666,0.500222111540118,1.0000000125483461
AquaticAnimal\m59.obj,AquaticAnimal,44,1680,1680,0,0.2105263184312308,0.21052631843123065,1.0000000125483461
AquaticAnimal\m60.obj,AquaticAnimal,1606,3208,3208,0,0.34070947795955103,0.4028157945283562,1.0000000125483461
AquaticAnimal\m61.obj,AquaticAnimal,216,337,337,0,0.1709789495139241,0.4404168476317663,1.0000000125483461
AquaticAnimal\m62.obj,AquaticAnimal,241,478,478,0,0.11186947508798736,0.7622926411444594,1.0000000125483461
AquaticAnimal\m63.obj,AquaticAnimal,1112,1792,1792,0,1.000000012548346,0.7363589566085083,0.7918294836203611
AquaticAnimal\m64.obj,AquaticAnimal,247,444,444,0,1.000000012548346,0.5474600068697177,0.16200000203283216
AquaticAnimal\m65.obj,AquaticAnimal,1004,1930,1930,0,0.39454316284560087,0.610100007655746,1.0000000125483461
AquaticAnimal\m66.obj,AquaticAnimal,4117,8196,8196,0,0.4428473739780546,0.5500557963759747,1.0000000125483461
AquaticAnimal\m67.obj,AquaticAnimal,14000,27996,27996,0,1.000000012548346,0.23652631875748786,0.3831452679657342
AquaticAnimal\m68.obj,AquaticAnimal,553,1098,1098,0,1.000000012548346,0.266862108611836,0.1709789495139241
AquaticAnimal\m69.obj,AquaticAnimal,317,560,560,0,0.34981579386329387,0.252395792640834,1.0000000125483461
AquaticAnimal\m70.obj,AquaticAnimal,320,560,560,0,0.45201579514573476,0.253764213710637,1.0000000125483461
AquaticAnimal\m71.obj,AquaticAnimal,420,836,836,0,0.3168315829230807,0.36477368878783295,1.0000000125483461
AquaticAnimal\m72.obj,AquaticAnimal,331,590,590,0,0.4538979004325099,0.25034526629931375,1.0000000125483461
AquaticAnimal\m73.obj,AquaticAnimal,285,564,564,0,1.000000012548346,0.6167000077385651,0.3696642151649904
AquaticAnimal\m74.obj,AquaticAnimal,162,336,336,0,0.3467947411938057,0.3122063197071466,1.0000000125483461
AquaticAnimal\m75.obj,AquaticAnimal,298,512,512,0,0.5404042173074949,0.2887484246759467,1.0000000125483461
AquaticAnimal\m76.obj,AquaticAnimal,1583,3164,3164,0,0.3904526364784823,0.3454105306501203,1.0000000125483461
AquaticAnimal\m77.obj,AquaticAnimal,11578,23022,23022,0,1.000000012548346,0.40315158400625417,0.6170557972167141
AquaticAnimal\m78.obj,AquaticAnimal,468,734,734,0,1.000000012548346,0.5175263222835731,0.4244010579571103
AquaticAnimal\m79.obj,AquaticAnimal,166,226,226,0,1.000000012548346,0.24333789779033022,0.290482108908228
AquaticAnimal\m80.obj,AquaticAnimal,1104,2104,2104,0,1.000000012548346,0.2988242142760654,0.41158000516464827
AquaticAnimal\m81.obj,AquaticAnimal,857,1673,1673,0,0.41000000514482204,0.28000000351353693,1.0000000125483464
Bed\D00031.obj,Bed,1867,3590,3590,0,0.9999999666185508,0.8968215278232257,0.3622891562790812
Bed\D00110.obj,Bed,1926,3644,3644,0,1.0000000179446258,0.7574330018377552,0.3410570826466811
Bed\D00121.obj,Bed,15368,24612,24612,0,0.9999999826166911,0.8587221954840156,0.5566486149704842
Bed\D00184.obj,Bed,7218,14204,14204,0,1.0000000198545829,0.9219315861436079,0.4789421824015479
Bed\D00210.obj,Bed,22063,34247,34247,0,0.9999999719657741,0.942479467822428,0.6458173060681305
Bed\D00213.obj,Bed,2277,4536,4536,0,1.0000000146083157,0.5108476621983781,0.382492458218284
Bed\D00217.obj,Bed,3238,6272,6272,0,1.0000000133676457,0.5548735047578474,0.42126897030064275
Bed\D00307.obj,Bed,2644,5259,5259,0,0.9999999779149832,0.9415695340686454,0.3346967085137648
Bed\D00322.obj,Bed,9342,14796,14796,0,1.0000000296666152,0.5615394870157435,0.5763562615753121
Bed\D00417.obj,Bed,12808,24736,24736,0,0.999999979075664,0.7378061845676598,0.424240592551427
Bed\D00538.obj,Bed,7136,13868,13868,0,0.9999999836751453,0.7050647350438676,0.43982690596516344
Bed\D00545.obj,Bed,415,838,838,0,1.0000000258669237,0.7177941570318865,0.4355520206631914
Bed\D00552.obj,Bed,6349,12251,12251,0,1.000000005845599,0.9281975736478796,0.45090440291900724
Bed\D00565.obj,Bed,826,1628,1628,0,1.0000000200530794,0.7840824333512314,0.3288901112929788
Bed\D00650.obj,Bed,3752,7443,7443,0,0.9999999903963044,0.5469645245007208,0.41462866604732723
Bed\D00735.obj,Bed,453,684,684,0,0.9999999951664443,0.8088176293096142,0.4485649414754413
Bed\D00836.obj,Bed,1563,3154,3154,0,0.9999999697130628,0.5118285333690717,0.5262247786785835
Bed\D00839.obj,Bed,16364,32648,32648,0,1.0000000021581694,0.8690820616182274,0.38598883115152566
Bed\D00969.obj,Bed,13151,23918,23918,0,1.000000021650787,0.8783171771930445,0.4962869282502379
Bed\D00988.obj,Bed,768,624,624,0,0.9999999675226704,0.6847659598789296,0.43162841350074127
Bed\m945.obj,Bed,8116,15659,15659,0,0.7526357989180181,0.8298715893608846,1.0000000125483464
Bed\m946.obj,Bed,449,644,644,0,0.49384105882846757,0.49383895356528323,1.0000000125483464
Bed\m947.obj,Bed,441,584,584,0,0.7336779039432862,0.4425831634484235,1.0000000125483464
Bed\m948.obj,Bed,4597,9038,9038,0,1.000000012548346,0.9140863272597454,0.9856926439477599
Bed\m949.obj,Bed,706,1388,1388,0,0.9802179070369553,1.0000000125483466,0.48942526929937236
Bed\m950.obj,Bed,437,724,724,0,0.7835621150955662,0.9097126429943366,1.0000000125483464
Bed\m951.obj,Bed,363,572,572,0,0.8136284312623225,0.5386863225490962,1.0000000125483464
Bicycle\D00016.obj,Bicycle,2769,5049,5049,0,1.0000000062606285,0.67162882292416,0.2068993863306463
Bicycle\D00033.obj,Bicycle,2192,4448,4448,0,1.0000000256206973,0.5627406359647402,0.3043539845993233
Bicycle\D00040.obj,Bicycle,25426,50650,50650,0,1.000000011687654,0.6315486157872701,0.3324459271717055
Bicycle\D00077.obj,Bicycle,16416,32265,32265,0,0.9999999792043165,0.6052271969431633,0.345069938827475
Bicycle\D00078.obj,Bicycle,22674,44740,44740,0,1.000000029093282,0.7178719846759881,0.3834726448609841
Bicycle\D00462.obj,Bicycle,56754,111471,111471,0,1.0000000085702583,0.6293730450657609,0.26874473428856005
Bicycle\D00514.obj,Bicycle,6951,12939,12939,0,0.9999999923097986,0.6701325512096311,0.21236318235327492
Bicycle\D00536.obj,Bicycle,30832,60488,60488,0,0.9999999915123051,0.645204981538426,0.47005369780814277
Bicycle\D00555.obj,Bicycle,34364,64544,64544,0,0.9999999969072195,0.6501887759515526,0.35701561499090223
Bicycle\D00558.obj,Bicycle,19417,37661,37661,0,1.0000000180005624,0.5755049605300165,0.26648282358823716
Bicycle\D00567.obj,Bicycle,436,916,916,0,0.9999999802023604,0.6232300500460398,0.2901428634843998
Bicycle\D00621.obj,Bicycle,2769,5049,5049,0,1.0000000064445402,0.678769212457178,0.20705753756000275
Bicycle\D00708.obj,Bicycle,22495,44110,44110,0,1.0000000210056734,0.6259968414816736,0.3040735849480357
Bicycle\D00750.obj,Bicycle,3053,5484,5484,0,0.9999999760274008,0.81214595489338,0.3169542139200666
Bicycle\D00838.obj,Bicycle,23397,45925,45925,0,1.0000000282718033,0.6257667607061375,0.30409135872290805
Bicycle\D00847.obj,Bicycle,22672,44707,44707,0,0.9999999987353192,0.6931158525836532,0.3793813422314561
Bicycle\D00904.obj,Bicycle,5354,10548,10548,0,0.9999999838391127,0.6465137547125742,0.20251145963529812
Bicycle\D00930.obj,Bicycle,29173,57224,57224,0,0.9999999781826711,0.7922163343219426,0.3923034885135328
Bicycle\D00931.obj,Bicycle,32603,64230,64230,0,1.000000025615155,0.6128371001567013,0.3213428444910341
Bicycle\D00974.obj,Bicycle,6045,12065,12065,0,1.0000000285283153,0.5991564916889556,0.22153102393594415
Bicycle\m1472.obj,Bicycle,524,846,846,0,0.40153474188070215,0.5703326387356787,1.0000000125483464
Bicycle\m1473.obj,Bicycle,2192,4448,4448,0,1.000000012548346,0.5606768491408304,0.30428526697617125
Bicycle\m1475.obj,Bicycle,6049,12065,12065,0,1.000000012548346,0.5141568485570813,0.2182452658965118
Bicycle\m1476.obj,Bicycle,436,916,916,0,0.28913158257549165,0.5786557967348576,1.0000000125483464
Bicycle\m1477.obj,Bicycle,22682,44727,44727,0,1.000000012548346,0.6221536920175262,0.3695063204261668
Bicycle\m1478.obj,Bicycle,2769,5049,5049,0,1.000000012548346,0.6175431656438822,0.2090273710440002
Biplane\D00069.obj,Biplane,3242,6326,6326,0,0.9999999999186115,0.5081326067360957,0.2024757220479568
Biplane\D00132.obj,Biplane,287,348,348,0,1.0000000099300734,0.6694420574082377,0.20293809801169677
Biplane\D00178.obj,Biplane,10942,8057,8057,0,1.0000000093849406,0.7819970462529694,0.22300071658375517
Biplane\D00199.obj,Biplane,2584,3764,3764,0,0.9999999695635443,0.7581350150383157,0.2967793067088384
Biplane\D00246.obj,Biplane,14082,9353,9353,0,1.0000000285832134,0.5183014991303645,0.16756064211596938
Biplane\D00276.obj,Biplane,567,916,916,0,0.9999999712785392,0.9168391882424469,0.5319314646548848
Biplane\D00277.obj,Biplane,22427,41567,41567,0,0.729260633468639,0.9999999842476633,0.29294039176539205
Biplane\D00320.obj,Biplane,9723,17476,17476,0,0.9999999928099372,0.5972308830453934,0.23066857178408662
Biplane\D00373.obj,Biplane,5941,12536,12536,0,0.8062825670603941,0.9999999919252821,0.328097677103607
Biplane\D00410.obj,Biplane,2167,4254,4254,0,0.9999999869775822,0.6136528020046627,0.21067074530036292
Biplane\D00490.obj,Biplane,24998,46318,46318,0,1.0000000089381276,0.6918608495274658,0.263401486812984
Biplane\D00515.obj,Biplane,5381,10522,10522,0,0.9000095993662216,1.0000000195420435,0.32486392228437083
Biplane\D00601.obj,Biplane,18086,36024,36024,0,0.9999999800824673,0.7852514855799869,0.4899818245237407
Biplane\D00616.obj,Biplane,20306,37102,37102,0,1.0000000071947832,0.47192429838873645,0.1909554417256804
Biplane\D00632.obj,Biplane,624,1024,1024,0,0.7872382460871432,1.000000027898442,0.2959992093050999
Biplane\D00634.obj,Biplane,48973,77264,77264,0,0.9999999692092211,0.7932108857498203,0.3078191961978772
Biplane\D00666.obj,Biplane,469,794,794,0,1.0000000040695216,0.9954048356256197,0.2322617018614122
Biplane\D00854.obj,Biplane,18966,37292,37292,0,0.7352091323416835,0.9999999732796554,0.28234470025425823
Biplane\D00890.obj,Biplane,45079,47490,47490,0,1.0000000302273824,0.9050450101498678,0.32768791242436435
Biplane\D00900.obj,Biplane,27750,49863,49863,0,0.9999999984813989,0.6954015303390743,0.2294074218031837
Biplane\m1118.obj,Biplane,10676,20408,20408,0,1.000000012548346,0.21749789746608097,0.5282989539976991
Biplane\m1119.obj,Biplane,863,1550,1550,0,1.0000000125483457,0.37297368889072935,0.8318642209648364
Biplane\m1120.obj,Biplane,65722,129881,129881,0,1.0000000125483457,0.363196846662783,0.9096200114142272
Biplane\m1121.obj,Biplane,1062,1913,1913,0,0.807629483818624,1.0000000125483464,0.31973579348583925
Biplane\m1122.obj,Biplane,6704,11577,11577,0,0.9586526436084518,1.0000000125483464,0.29423053000789556
Biplane\m1123.obj,Biplane,1015,1756,1756,0,0.7080789562536407,1.0000000125483464,0.3088705301916034
Biplane\m1124.obj,Biplane,390,572,572,0,0.6400863238214981,1.0000000125483464,0.22710105548132153
Biplane\m1125.obj,Biplane,434,656,656,0,0.8148231681194191,1.0000000125483464,0.26250000329394063
Biplane\m1126.obj,Biplane,770,1316,1316,0,0.8032989574484937,1.0000000125483464,0.22221684489371699
Biplane\m1127.obj,Biplane,354,520,520,0,0.8274242209091212,1.0000000125483464,0.20495158151917167
Biplane\m1128.obj,Biplane,718,1232,1232,0,1.0000000125483457,0.9916705387596145,0.22836947654986958
Biplane\m1129.obj,Biplane,3351,6272,6272,0,1.0000000125483457,0.33847474108940345,0.7100084299620634
Biplane\m1131.obj,Biplane,482,768,768,0,0.7164400089901368,1.0000000125483464,0.1807705285841606
Biplane\m1132.obj,Biplane,882,1428,1428,0,0.7344210618473481,1.0000000125483464,0.19448947612473158
Biplane\m1133.obj,Biplane,624,1024,1024,0,0.7839442203635187,1.0000000125483464,0.3012810564121576
Biplane\m1134.obj,Biplane,338,512,512,0,0.5446189542024881,1.0000000125483464,0.15600000195754204
Biplane\m1135.obj,Biplane,264,360,360,0,0.5483231647752856,1.0000000125483464,0.16426000206119146
Biplane\m1136.obj,Biplane,904,1628,1628,0,0.562218954423339,1.0000000125483464,0.21929789748866782
Biplane\m1137.obj,Biplane,408,524,524,0,0.4599821110351726,1.0000000125483464,0.18380842335912315
Biplane\m1138.obj,Biplane,2050,3586,3586,0,0.999999977132616,0.9561292132077228,0.38253125124568177
Biplane\m1139.obj,Biplane,2920,4234,4234,0,0.6551936924321231,1.0000000125483464,0.26250947697827004
Biplane\m1141.obj,Biplane,11819,23138,23138,0,1.0000000125483457,0.3008884248282836,0.6263473762806768
Biplane\m1143.obj,Biplane,3336,6570,6570,0,0.5047315852809152,1.0000000125483464,0.19443473928193947
Biplane\m1144.obj,Biplane,3627,6736,6736,0,1.0000000125483457,0.7283168512444351,0.2803200035175521
Biplane\m1146.obj,Biplane,1700,3016,3016,0,0.9088000114039372,0.31280000392512264,1.0000000125483464
Bird\D00089.obj,Bird,233,462,462,0,1.0000000074879762,0.5492099332654413,0.24092248564167468
Bird\D00113.obj,Bird,15871,31702,31702,0,0.9999999823802952,0.8857208834916555,0.6749653986991411
Bird\D00164.obj,Bird,8188,16135,16135,0,0.9999999685849809,0.5828525972266714,0.2691969979855687
Bird\D00234.obj,Bird,1247,2468,2468,0,0.9999999726670382,0.8490350242946099,0.23659568376739315
Bird\D00271.obj,Bird,12813,24753,24753,0,1.0000000200017063,0.686050166194402,0.21048288878351334
Bird\D00284.obj,Bird,13253,26516,26516,0,1.0000000304175924,0.542887159765205,0.24688641390977437
Bird\D00323.obj,Bird,260,364,364,0,0.9999999982010995,0.26900350695294833,0.046891475811885124
Bird\D00386.obj,Bird,1751,3498,3498,0,1.0000000063737773,0.3425285262020324,0.11058740362900273
Bird\D00438.obj,Bird,1824,3709,3709,0,1.0000000081389386,0.4647141885011274,0.1316932022688741
Bird\D00442.obj,Bird,9745,17119,17119,0,1.0000000017260815,0.6282542443617306,0.5042691782886536
Bird\D00546.obj,Bird,1162,2012,2012,0,1.000000017667025,0.3569348185685307,0.2047100167244692
Bird\D00599.obj,Bird,1792,3626,3626,0,1.000000024156002,0.37922985755518546,0.10760194021479658
Bird\D00625.obj,Bird,1091,1398,1398,0,0.9999999876985376,0.7552441484623799,0.5199722959379629
Bird\D00689.obj,Bird,2683,5388,5388,0,0.9999999782692842,0.3193988258930172,0.2773872147507571
Bird\D00736.obj,Bird,3947,7898,7898,0,1.000000015710796,0.48190488792708097,0.14298939154598478
Bird\D00762.obj,Bird,950,1896,1896,0,1.000000011128097,0.8816927448700115,0.36317576818128744
Bird\D00862.obj,Bird,757,1507,1507,0,0.9999999896648677,0.4795611118688797,0.2565521048357243
Bird\D00922.obj,Bird,903,1794,1794,0,1.0000000267171791,0.7498424100783051,0.5098367541962672
Bird\D00961.obj,Bird,1344,2734,2734,0,0.9999999742510526,0.5692810867917921,0.12775655943873504
Bird\D00999.obj,Bird,373,744,744,0,0.9999999952949964,0.3490905121374627,0.13594074862134212
Bird\m28.obj,Bird,6076,11660,11660,0,0.46703263743943446,0.5823410599389964,1.000000012548347
Bird\m29.obj,Bird,2972,5878,5878,0,0.33867158319713686,0.9365073801726714,1.000000012548347
Bird\m30.obj,Bird,390,800,800,0,0.35205263599662595,0.526051585548446,1.000000012548347
Bird\m31.obj,Bird,1802,3548,3548,0,0.5008915852327294,1.0000000125483468,0.5153557959405471
Bird\m32.obj,Bird,1129,2246,2246,0,0.3766021099888919,0.6666663241550337,1.000000012548347
Bird\m33.obj,Bird,3144,6164,6164,0,0.543682112085469,0.7025852719741781,1.000000012548347
Bird\m34.obj,Bird,233,462,462,0,1.000000012548346,0.24437263464541994,0.5466242173855456
Bird\m35.obj,Bird,699,1394,1394,0,0.8077610627676439,0.6432421133347828,1.000000012548347
Bird\m36.obj,Bird,1289,2503,2503,0,0.9679379068828616,0.8251810629862372,1.000000012548347
Bird\m37.obj,Bird,567,1130,1130,0,1.000000012548346,0.43395579491911174,0.7591610621577949
Bird\m38.obj,Bird,464,928,928,0,1.000000012548346,0.24808526627095462,0.28169368774531595
Bird\m39.obj,Bird,649,1156,1156,0,0.9037621166038776,1.0000000125483473,0.24690210836137083
Bird\m40.obj,Bird,2684,5390,5390,0,1.000000012548346,0.2735210560638159,0.33987263584378646
Bird\m41.obj,Bird,1824,3709,3709,0,1.000000012548346,0.12868315950949752,0.4660168479530036
Bird\m42.obj,Bird,116,265,265,0,1.000000012548346,0.1948515813924334,0.4968873746561675
Bird\m43.obj,Bird,41,54,54,0,0.9495852750736192,0.6117536918870234,1.000000012548347
Bird\m44.obj,Bird,401,798,798,0,1.000000012548346,0.45666632151988085,0.2540000031872796
Bird\m45.obj,Bird,16542,33072,33072,0,1.000000012548346,0.27931368771545123,0.4857210587265748
Bird\m47.obj,Bird,101,165,165,0,0.7061084299131243,0.12963579110039888,1.0000000125483468
Bird\m48.obj,Bird,427,824,824,0,0.4873947429581031,0.45378211095737303,1.0000000125483468
Bird\m49.obj,Bird,2329,4364,4364,0,1.000000012548346,0.8168336944604389,0.7011589561668066
Bird\m50.obj,Bird,93,182,182,0,0.40110316292791837,0.5676663229127471,1.0000000125483468
Bird\m51.obj,Bird,309,598,598,0,1.000000012548346,0.4786147428479287,0.55440842800954
Bird\m52.obj,Bird,294,560,560,0,1.000000012548346,0.6270179026048799,0.9315294853733652
Bookset\D01009.obj,Bookset,444,3156,3156,0,1.0000000312214818,0.619047638375203,0.6428571629280945
Bookset\D01013.obj,Bookset,320,816,816,0,0.580673353217212,1.0000000248911203,0.6110144345376772
Bookset\D01030.obj,Bookset,208,1152,1152,0,0.999999972967383,0.7278129182629525,0.8239380789833132
Bookset\D01038.obj,Bookset,2208,14844,14844,0,0.23209548311131262,0.9999999967844706,0.3756677497189965
Bookset\D01042.obj,Bookset,668,2373,2373,0,0.8549640375757949,0.7467050436558994,1.0000000102914488
Bookset\D01050.obj,Bookset,140,780,780,0,0.8630009306182446,0.9077884197919859,0.9999999848953891
Bookset\D01065.obj,Bookset,360,918,918,0,0.9999999444637072,0.5303006137160405,0.5580096414437714
Bookset\D01078.obj,Bookset,1203,6861,6861,0,0.9999999993598016,0.3931645096857618,0.5587074611323987
Bookset\D01096.obj,Bookset,624,2544,2544,0,1.0000000471587793,0.5557840994421204,0.5618344168268827
Bookset\D01108.obj,Bookset,1628,9798,9798,0,0.4036522889749283,0.999999996647926,0.6846916163403697
Bookset\D01109.obj,Bookset,1203,6861,6861,0,0.7076961174343727,0.9999999993598016,0.8771723433376228
Bookset\D01110.obj,Bookset,166,936,936,0,0.773403297779114,0.8333333044509124,0.9999999653410936
Bookset\D01122.obj,Bookset,110,624,624,0,0.9999999629326822,0.6370325615872078,0.7343437234111467
Bookset\D01135.obj,Bookset,1645,10185,10185,0,1.0000000296093083,0.4376705662898276,0.4804155883027614
Bookset\D01146.obj,Bookset,2694,7149,7149,0,1.0000000091677572,0.44546741625585806,0.44698505195312216
Bookset\D01182.obj,Bookset,188,1020,1020,0,0.7473172407249196,0.9611467158719161,0.9999999811813725
Bookset\D01183.obj,Bookset,891,3231,3231,0,0.9999999696296048,0.6168929206075698,0.9041462438811327
Bookset\D01184.obj,Bookset,247,1557,1557,0,0.5847902081582156,0.7063573039898522,1.000000042974296
Bookset\D01190.obj,Bookset,2417,14484,14484,0,0.22384546360778132,0.999999980500824,0.3745441354673037
Bookset\D01199.obj,Bookset,240,1524,1524,0,1.000000024361146,0.5640935876190692,0.5639814724317411
Bottle\D00020.obj,Bottle,971,1710,1710,0,0.9999999984855642,0.2610448510405612,0.25231802533200237
Bottle\D00123.obj,Bottle,1067,2044,2044,0,1.0000000290336273,0.252178358422471,0.23206314032232822
Bottle\D00139.obj,Bottle,2452,4860,4860,0,1.0000000298636373,0.24602178861477747,0.24218768281818334
Bottle\D00166.obj,Bottle,23142,45936,45936,0,0.9999999855700397,0.48067620321104804,0.3209006327607754
Bottle\D00176.obj,Bottle,7138,14272,14272,0,1.0000000199872199,0.32202009716102903,0.3114367157531966
Bottle\D00208.obj,Bottle,2000,3640,3640,0,0.9999999848334242,0.31388094150735235,0.2889580400580933
Bottle\D00281.obj,Bottle,1304,1764,1764,0,0.9999999840694105,0.30542431151179156,0.3035914834890618
Bottle\D00311.obj,Bottle,829,1448,1448,0,0.9999999699082684,0.4021376734241829,0.39831164578789185
Bottle\D00347.obj,Bottle,2426,4438,4438,0,0.999999973085374,0.27438121266906607,0.2730024920577453
Bottle\D00350.obj,Bottle,569,921,921,0,1.0000000097437995,0.2534411831137254,0.27112927751056737
Bottle\D00390.obj,Bottle,1499,2742,2742,0,1.0000000372316147,0.5192643026185496,0.5122639472992055
Bottle\D00451.obj,Bottle,11448,18236,18236,0,1.0000000027796065,0.4776719096731691,0.4416578051266547
Bottle\D00679.obj,Bottle,12640,23052,23052,0,1.0000000341330015,0.3120221592432145,0.30857891984735647
Bottle\D00696.obj,Bottle,13754,25850,25850,0,1.0000000291727558,0.26933621635373955,0.24173464952729806
Bottle\D00711.obj,Bottle,192,336,336,0,1.000000007472944,0.4426807172618427,0.43557479271640914
Bottle\D00716.obj,Bottle,446,856,856,0,0.9999999916503638,0.5258208936524612,0.17418830678499572
Bottle\D00726.obj,Bottle,10163,18390,18390,0,0.9999999697626627,0.31036070614448646,0.3107378690220893
Bottle\D00892.obj,Bottle,2474,4940,4940,0,0.9999999997337548,0.2599193932156219,0.25308426553493796
Bottle\D00940.obj,Bottle,737,1242,1242,0,1.0000000246394216,0.4313260870987893,0.4271756432396064
Bottle\D00959.obj,Bottle,479,892,892,0,0.9999999992444554,0.2553451685348892,0.2554654676475751
Bottle\m482.obj,Bottle,542,950,950,0,0.27857158244298064,1.0000000125483466,0.28209158248715105
Bottle\m483.obj,Bottle,371,620,620,0,0.24883263470138475,1.0000000125483466,0.2488326347013857
Bottle\m484.obj,Bottle,460,888,888,0,0.2777705298013491,1.0000000125483466,0.2779578982247538
Bottle\m485.obj,Bottle,526,936,936,0,0.27857158244298064,1.0000000125483466,0.27857158244298064
